index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A,error_A,cmd_duty_pct,cmd_pwm,dir_sign
0,0,0.0000,0.000000,0.00000,0.0000,-2.5305,0.0000,4.00,3931,1
1,2,0.0020,0.000000,0.00000,0.0000,-2.3443,0.0000,4.00,3931,1
2,10,0.0100,0.000000,0.00000,0.0000,-2.3993,0.0000,4.00,3931,1
3,20,0.0200,0.000000,0.00000,0.0000,-2.5610,0.0000,4.00,3931,1
4,30,0.0300,0.000000,0.00000,0.0000,-2.4664,0.0000,4.00,3931,1
5,40,0.0400,0.000000,0.00000,0.0000,-2.5610,0.0000,4.00,3931,1
6,50,0.0500,0.000000,0.00000,0.0000,-2.6740,0.0000,4.00,3931,1
7,60,0.0600,0.000000,0.00000,0.0000,-2.5855,0.0000,4.00,3931,1
8,70,0.0700,0.000000,0.00000,0.0000,-2.5549,0.0000,4.00,3931,1
9,80,0.0800,0.000000,0.00000,0.0000,-2.6374,0.0000,4.00,3931,1
10,90,0.0900,0.000000,0.00000,0.0000,-2.5458,0.0000,4.00,3931,1
11,100,0.1000,0.000000,0.00000,0.0000,-2.5488,0.0000,4.00,3931,1
12,110,0.1100,0.000000,0.00000,0.0000,-2.5000,0.0000,4.00,3931,1
13,120,0.1200,0.000000,0.00000,0.0000,-2.4908,0.0000,4.00,3931,1
14,130,0.1300,0.000000,0.00000,0.0000,-2.5519,0.0000,4.00,3931,1
15,140,0.1400,0.000000,0.00000,0.0000,-2.5580,0.0000,4.00,3931,1
16,150,0.1500,0.000000,0.00000,0.0000,-2.4695,0.0000,4.00,3931,1
17,160,0.1600,0.000000,0.00000,0.0000,-2.5488,0.0000,4.00,3931,1
18,170,0.1700,0.000000,0.00000,0.0000,-2.5580,0.0000,4.00,3931,1
19,180,0.1800,0.000000,0.00000,0.0000,-2.4756,0.0000,4.00,3931,1
20,190,0.1900,0.000000,0.00000,0.0000,-2.5519,0.0000,4.00,3931,1
21,200,0.2000,0.000000,0.00000,0.0000,-2.6252,0.0000,4.00,3931,1
22,210,0.2100,0.000000,0.00000,0.0000,-2.5244,0.0000,4.00,3931,1
23,220,0.2200,0.000000,0.00000,0.0000,-2.5305,0.0000,4.00,3931,1
24,230,0.2300,0.000000,0.00000,0.0000,-2.5458,0.0000,4.00,3931,1
25,240,0.2400,0.000000,0.00000,0.0000,-2.5183,0.0000,4.00,3931,1
26,250,0.2500,0.000000,0.00000,0.0000,-2.5794,0.0000,4.00,3931,1
27,260,0.2600,0.000000,0.00000,0.0000,-2.5153,0.0000,4.00,3931,1
28,270,0.2700,0.000000,0.00000,0.0000,-2.6190,0.0000,4.00,3931,1
29,280,0.2800,0.000000,0.00000,0.0000,-2.5733,0.0000,4.00,3931,1
30,290,0.2900,0.000000,0.00000,0.0000,-2.6007,0.0000,4.00,3931,1
31,300,0.3000,0.000000,0.00000,0.0000,-2.5885,0.0000,4.00,3931,1
32,310,0.3100,0.000000,0.00000,0.0000,-2.5366,0.0000,4.00,3931,1
33,320,0.3200,0.000000,0.00000,0.0000,-2.5794,0.0000,4.00,3931,1
34,330,0.3300,0.000000,0.00000,0.0000,-2.5946,0.0000,4.00,3931,1
35,340,0.3400,0.000000,0.00000,0.0000,-2.5092,0.0000,4.00,3931,1
36,350,0.3500,0.000000,0.00000,0.0000,-2.5733,0.0000,4.00,3931,1
37,360,0.3600,0.000000,0.00000,0.0000,-2.5946,0.0000,4.00,3931,1
38,370,0.3700,0.000000,0.00000,0.0000,-2.6526,0.0000,4.00,3931,1
39,380,0.3800,0.000000,0.00000,0.0000,-2.4298,0.0000,4.00,3931,1
40,390,0.3900,0.000000,0.00000,0.0000,-2.5916,0.0000,4.00,3931,1
41,400,0.4000,0.000000,0.00000,0.0000,-2.5275,0.0000,4.00,3931,1
42,410,0.4100,0.000000,0.00000,0.0000,-2.5610,0.0000,4.00,3931,1
43,420,0.4200,0.000000,0.00000,0.0000,-2.6496,0.0000,4.00,3931,1
44,430,0.4300,0.000000,0.00000,0.0000,-2.5305,0.0000,4.00,3931,1
45,440,0.4400,0.000000,0.00000,0.0000,-2.6221,0.0000,4.00,3931,1
46,450,0.4500,0.000000,0.00000,0.0000,-2.5092,0.0000,4.00,3931,1
47,460,0.4600,0.000000,0.00000,0.0000,-2.5855,0.0000,4.00,3931,1
48,470,0.4700,0.000000,0.00000,0.0000,-2.5183,0.0000,4.00,3931,1
49,480,0.4800,0.000000,0.00000,0.0000,-2.5824,0.0000,4.00,3931,1
50,490,0.4900,0.000000,0.00000,0.0000,-2.4695,0.0000,4.00,3931,1
51,500,0.5000,0.000000,0.00000,0.0000,-2.5855,0.0000,4.00,3931,1
52,510,0.5100,0.000000,0.00000,0.0000,-2.5427,0.0000,4.00,3931,1
53,520,0.5200,0.000000,0.00000,0.0000,-2.5122,0.0000,4.00,3931,1
